私は学びたいと思う教授がいたからです。,大学
その教授は塩尻（斎藤）亜希先生といい、現在の僕の指導教員です。,大学
生まれも育ちも岩手県盛岡市です！,出身
コンピュータサイエンスを学び、Javaなどによるシステムの開発から、機械学習と幅広く学んでいます。,大学
株式会社Zigexnにて機械学習エンジニアによる長期インターンシップ、そして業務委託として株式会社AlmondoでLLM開発のPjMをしています。,インターン
はい！コンスタントに参加しています。,コンペ
主にテーブルデータのコンペに参加しています！画像や音声にも挑戦したいのですが計算リソース不足で参加に踏み切れません。,コンペ
"AWS CLF,SAA",資格
以前の長期インターン先である株式会社SiNCEにてAWS関連のプロジェクトがありました。,インターン
その際に、AWS及びクラウドの知識が不足していたため、自己研鑽の一環として取得しました。,インターン
スモールワールドニューラルネットワークの実用化とパッケージ化に励んでいます。,研究
具体的には、スモールワールドニューラルネットワークによる予測精度と効率性の向上: Titanicデータセットを用いた比較研究をしています。,研究
スモールワールド・ニューラルネットワークの概念は、「スモールワールド現象」から着想を得ている。,SWNN
これは、どんな2人の人間も、わずかな仲介者を介して繋がっているという考え（例えば岸田首相に電話かけたい時に、仲介者6人いればその人までたどり着くっていう考え：これは米国で実証済みらしい）に基づいている。,SWNN
この現象は「六次の隔たり」とも呼ばれ、ネットワークが純粋にランダムでも純粋に規則的でもなく、その中間の状態にあることを示唆している。,SWNN
スモールワールド・ニューラルネットワークはこの特性をアーキテクチャに取り入れ、一般的に高いクラスタリング（ノードが密集したグループを形成すること）と短い経路長（任意の2つのノード間の平均ステップ数）を持っている,SWNN
塩尻（斎藤）亜希 研究室です！リンク：https://shiojirilab.wixsite.com/shiojirilab/%E3%82%A2%E3%82%AF%E3%82%BB%E3%82%B9,研究
ENTP（討論者）,性格
MUFG Data Science Champion Ship 2023、59人中38位、第2回 金融データ活用チャレンジ1151人中7位、,コンペ
Python、R、Julia、Java、Javascript（TypeScript）、CSS,技術
趣味は読書、散歩、プログラミング,趣味
一つ目は自分専用のChatBotの作成を通して技術力を高めると同時に外への自分の技術力のアピールにするためです。,技術
二つ目は自分のサイトを訪れてくれた人はどこかで僕と接点を持っている人が大多数だと認識しています。そのためサイトだけでなく、もっと別の形で僕のことを知って欲しいと思ったからです！,技術
はじめの動機は就活に向けて自分のアピール材料の一つにしようと思ったからです。ただ、フレームワークの作成などを通して楽しくなって気づいたら自分のもう一つの趣味としてひたすらエディタと睨めっこしてました笑,技術